Date,Spendd,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,Spendd,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Sales (₹)
6-Oct-22, 33.89,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1474,,7,,0.48%,₹ 33.89, 33.89,,₹ 4.84,₹ 0.00,0,0.00%,0,₹ 0.00
6-Oct-22, 22.65,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,908,,8,,0.88%,₹ 22.65, 22.65,,₹ 2.83,₹ 0.00,0,0.00%,0,₹ 0.00
7-Oct-22, 18.54,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1125,,4,,0.36%,₹ 18.54, 18.54,,₹ 4.63,₹ 0.00,0,0.00%,0,₹ 0.00
7-Oct-22, 25.97,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,845,,10,,1.18%,₹ 25.97, 25.97,,₹ 2.60,₹ 0.00,0,0.00%,0,₹ 0.00
8-Oct-22, 17.25,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1011,,4,,0.40%,₹ 17.25, 17.25,,₹ 4.31,₹ 0.00,0,0.00%,0,₹ 0.00
8-Oct-22, 20.54,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,883,,9,,1.02%,₹ 20.54, 20.54,,₹ 2.28,₹ 0.00,0,0.00%,0,₹ 0.00
9-Oct-22, 23.72,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1304,,6,,0.46%,₹ 23.72, 23.72,,₹ 3.95,₹ 0.00,0,0.00%,0,₹ 0.00
9-Oct-22, 25.55,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,906,,9,,0.99%,₹ 25.55, 25.55,,₹ 2.84,₹ 0.00,0,0.00%,0,₹ 0.00
10-Oct-22, 4.68,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,712,,1,,0.14%,₹ 4.68, 4.68,,₹ 4.68,₹ 0.00,0,0.00%,0,₹ 0.00
10-Oct-22, 21.70,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,799,,8,,1.00%,₹ 21.70, 21.70,,₹ 2.71,₹ 0.00,0,0.00%,0,₹ 0.00
