Date,,,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Sales (₹)
21-Sep-22,29.53,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,875,,6,,0.69%,₹ 29.53,29.53,,₹ 4.92,₹ 0.00,0,0.00%,0,₹ 0.00
21-Sep-22,18.94,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1400,,9,,0.64%,₹ 18.94,18.94,,₹ 2.10,₹ 0.00,0,0.00%,0,₹ 0.00
22-Sep-22,9.29,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,704,,2,,0.28%,₹ 9.29,9.29,,₹ 4.64,₹ 0.00,0,0.00%,0,₹ 0.00
22-Sep-22,14.42,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1291,,5,,0.39%,₹ 14.42,14.42,,₹ 2.88,₹ 0.00,0,0.00%,0,₹ 0.00
23-Sep-22,29.28,,No Portfolio,Sponsored Products,Sale,India,ARCHIVED,INR,₹ 250.00,Automatic targeting,Dynamic bids - down only,979,,10,,1.02%,₹ 29.28,29.28,,₹ 2.93,₹ 0.00,2,4.60%,21.73,₹ 636.19
23-Sep-22,15.42,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1226,,5,,0.41%,₹ 15.42,15.42,,₹ 3.08,₹ 0.00,0,0.00%,0,₹ 0.00
23-Sep-22,55.71,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1654,,13,,0.79%,₹ 55.71,55.71,,₹ 4.29,₹ 0.00,0,0.00%,0,₹ 0.00
24-Sep-22,25.06,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2318,,10,,0.43%,₹ 25.06,25.06,,₹ 2.51,₹ 0.00,0,0.00%,0,₹ 0.00
24-Sep-22,56.48,,No Portfolio,Sponsored Products,Sale,India,ARCHIVED,INR,₹ 250.00,Automatic targeting,Dynamic bids - down only,3758,,19,,0.51%,₹ 56.48,56.48,,₹ 2.97,₹ 0.00,1,19.83%,5.04,₹ 284.76
24-Sep-22,27.89,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1223,,6,,0.49%,₹ 27.89,27.89,,₹ 4.65,₹ 0.00,0,0.00%,0,₹ 0.00
25-Sep-22,28.09,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1932,,12,,0.62%,₹ 28.09,28.09,,₹ 2.34,₹ 0.00,0,0.00%,0,₹ 0.00
25-Sep-22,87.20,,No Portfolio,Sponsored Products,Sale,India,ARCHIVED,INR,₹ 250.00,Automatic targeting,Dynamic bids - down only,3215,,28,,0.87%,₹ 87.20,87.20,,₹ 3.11,₹ 0.00,1,32.13%,3.11,₹ 271.43
25-Sep-22,18.80,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1437,,4,,0.28%,₹ 18.80,18.80,,₹ 4.70,₹ 0.00,0,0.00%,0,₹ 0.00
26-Sep-22,51.83,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2680,,23,,0.86%,₹ 51.83,51.83,,₹ 2.25,₹ 0.00,0,0.00%,0,₹ 0.00
26-Sep-22,9.30,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,922,,2,,0.22%,₹ 9.30,9.30,,₹ 4.65,₹ 0.00,0,0.00%,0,₹ 0.00
26-Sep-22,69.05,,No Portfolio,Sponsored Products,Sale,India,ARCHIVED,INR,₹ 250.00,Automatic targeting,Dynamic bids - down only,6354,,23,,0.36%,₹ 69.05,69.05,,₹ 3.00,₹ 0.00,2,10.85%,9.21,₹ 636.19
