Date,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Sales (₹)
"Nov 04, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,5579,,72,,1.2910%,₹ 156.72,,₹ 2.18,₹ 0.00,6,7.0630%,14.16,"₹ 2,219.04"
"Nov 04, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,9352,,45,,0.4810%,₹ 161.74,,₹ 3.59,₹ 0.00,0,0.0000%,0.0,₹ 0.00
"Nov 05, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,4011,,63,,1.5710%,₹ 135.34,,₹ 2.15,₹ 0.00,2,17.4580%,5.73,₹ 775.24
"Nov 05, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,26261,,58,,0.2210%,₹ 182.98,,₹ 3.15,₹ 0.00,1,50.6940%,1.97,₹ 360.95
"Nov 05, 2022",No Portfolio,Sponsored Products,20.1.22.Auto.C2o.Muffler,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,4772,,46,,0.9640%,₹ 122.03,,₹ 2.65,₹ 0.00,2,16.3020%,6.13,₹ 748.57
"Nov 06, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,37854,,73,,0.1930%,₹ 236.41,,₹ 3.24,₹ 0.00,2,30.4950%,3.28,₹ 775.24
"Nov 06, 2022",No Portfolio,Sponsored Products,20.1.22.Auto.C2o.Muffler,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,2863,,31,,1.0830%,₹ 80.98,,₹ 2.61,₹ 0.00,1,22.4350%,4.46,₹ 360.95
"Nov 06, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,4807,,68,,1.4150%,₹ 155.81,,₹ 2.29,₹ 0.00,5,8.3850%,11.93,"₹ 1,858.09"
"Nov 07, 2022",No Portfolio,Sponsored Products,20.1.22.Auto.C2o.Muffler,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,2627,,30,,1.1420%,₹ 85.09,,₹ 2.84,₹ 0.00,1,23.5740%,4.24,₹ 360.95
"Nov 07, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,6890,,70,,1.0160%,₹ 144.49,,₹ 2.06,₹ 0.00,11,3.4760%,28.77,"₹ 4,157.15"
"Nov 07, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,15451,,38,,0.2460%,₹ 134.91,,₹ 3.55,₹ 0.00,0,0.0000%,0.0,₹ 0.00
"Nov 08, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,8461,,65,,0.7680%,₹ 143.80,,₹ 2.21,₹ 0.00,5,7.7390%,12.92,"₹ 1,858.09"
"Nov 08, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,16034,,43,,0.2680%,₹ 151.88,,₹ 3.53,₹ 0.00,1,39.9680%,2.5,₹ 380.00
"Nov 08, 2022",No Portfolio,Sponsored Products,20.1.22.Auto.C2o.Muffler,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,2946,,39,,1.3240%,₹ 106.90,,₹ 2.74,₹ 0.00,3,9.4090%,10.63,"₹ 1,136.20"
"Nov 09, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,18565,,51,,0.2750%,₹ 171.45,,₹ 3.36,₹ 0.00,2,22.3350%,4.48,₹ 767.62
"Nov 09, 2022",No Portfolio,Sponsored Products,20.1.22.Auto.C2o.Muffler,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,2347,,36,,1.5340%,₹ 90.64,,₹ 2.52,₹ 0.00,5,5.0220%,19.91,"₹ 1,804.75"
"Nov 09, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,8533,,84,,0.9840%,₹ 156.77,,₹ 1.87,₹ 0.00,7,5.8940%,16.97,"₹ 2,660.00"
"Nov 10, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,17960,,34,,0.1890%,₹ 123.37,,₹ 3.63,₹ 0.00,0,0.0000%,0.0,₹ 0.00
"Nov 10, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,6762,,69,,1.0200%,₹ 155.60,,₹ 2.26,₹ 0.00,3,13.6950%,7.3,"₹ 1,136.19"
